feature,score,min,max,n_null,n_gt1w
x533,136,-1,690,19,0,numeric
x885,136,-1,1,4951,0,category
x800,135,-1,706,19,0,numeric
x675,135,-1,87,19,0,numeric
x1078,134,-1.0,220.85,4951,0,numeric
x444,134,-1,1,13651,0,category
x677,132,-1,16777,19,2,numeric
x631,132,-1,358,19,0,numeric
x983,132,-1,115,19,0,numeric
x589,131,-1,3286,19,0,numeric
x819,131,-1,387,13061,0,numeric
x780,131,-1,10,44,0,numeric
x844,130,-1,9519,19,0,numeric
x547,130,-1,387,13030,0,numeric
x667,130,-1,21,19,0,numeric
x283,129,-1,351,19,0,numeric
x1067,129,-1,289,4951,0,numeric
x1112,127,1,33,0,0,category
x806,127,-1,106,19,0,numeric
x461,126,0,50,0,0,numeric
x1133,124,1,8,0,0,category
x654,123,-1,29714,19,13,numeric
x1008,123,-1,73,19,0,numeric
x930,123,-1,20,4951,0,numeric
x1007,122,-1,24,19,0,numeric
x523,121,-1,5784,19,0,numeric
x905,120,-1,388,4951,0,numeric
x762,119,-1,646,19,0,numeric
x1113,118,1,33,0,0,category
x918,118,-1,466,4951,0,numeric
x327,117,-1,3157,92,0,numeric
x521,117,-1,464,19,0,numeric
x269,117,-1,323,19,0,numeric
x1136,116,1,8,0,0,category
x544,116,-1,11,19,0,numeric
x845,114,-1,5075,19,0,numeric
x1107,113,1,34,0,0,category
x789,113,-1,251,19,0,numeric
x535,113,-1,119,19,0,numeric
x793,113,-1,112,19,0,numeric
x380,113,-1,16,19,0,numeric
x908,112,-1,55,4951,0,numeric
x1049,112,-1,33,19,0,numeric
x630,111,-1,2117,19,0,numeric
x962,111,-1,19,4421,0,numeric
x1046,111,-1,1,24,0,category
x242,110,-1,13642,19,1,numeric
x531,110,-1,8072,19,0,numeric
x273,110,-1,340,19,0,numeric
x837,109,-1,146502,19,4,numeric
x509,109,-1,632,19,0,numeric
x705,107,-1,289,19,0,numeric
x260,107,-1,170,19,0,numeric
x595,107,-1,29,19,0,numeric
x1066,106,-1,308,4951,0,numeric
x265,105,-1,21837,19,2,numeric
x623,104,-1,14591,19,1,numeric
x527,104,-1,304,19,0,numeric
x980,104,-1,114,19,0,numeric
x939,104,-1,6,4951,0,numeric
x931,103,-1,2,4951,0,numeric
x838,102,-1,913,19,0,numeric
x892,102,-1,4,4951,0,numeric
x1111,101,1,27,0,0,category
x570,101,-1,2599,19,0,numeric
x258,101,-1,233,19,0,numeric
x751,101,-1,62,19,0,numeric
x889,101,-1,20,4951,0,numeric
x935,99,-1,82,4951,0,numeric
x921,98,-1,54,4951,0,numeric
x611,97,-1,150503,19,4,numeric
x715,97,-1,8954,19,0,numeric
x532,97,-1,6188,19,0,numeric
x832,97,-1,1779,19,0,numeric
x693,97,-1,1536,19,0,numeric
x245,97,-1,302,19,0,numeric
x985,97,-1,175,19,0,numeric
x324,96,-1,5,19,0,numeric
x747,95,-1,619,19,0,numeric
x402,95,-1,95,19,0,numeric
x378,95,-1,64,19,0,numeric
x1062,94,-1,280,4951,0,numeric
x1016,94,-1,36,19,0,numeric
x567,91,-1,13,19,0,numeric
x783,89,-1,5495,19,0,numeric
x682,89,-1,112,19,0,numeric
x1012,89,-1,51,19,0,numeric
x466,88,0,37,0,0,numeric
x671,88,-1,4435,19,0,numeric
x628,88,-1,304,19,0,numeric
x910,88,-1,12,4951,0,numeric
x586,87,-1,214,19,0,numeric
x765,87,-1,168,19,0,numeric
x708,87,-1,65,19,0,numeric
x1013,87,-1,15,19,0,numeric
x1119,86,1,8,0,0,category
x1025,86,-1,81,19,0,numeric
x608,86,-1,70,19,0,numeric
x1006,86,-1,28,19,0,numeric
x1128,85,1,8,0,0,category
x1123,85,1,8,0,0,category
x869,85,-1,39,19,0,numeric
x795,84,-1,914,19,0,numeric
x561,83,-1,96,19,0,numeric
x756,81,-1,6508,19,0,numeric
x279,81,-1,3959,19,0,numeric
x770,81,-1,186,19,0,numeric
x753,81,-1,68,19,0,numeric
x1085,80,-1,262,4951,0,numeric
x243,80,-1,154,19,0,numeric
x881,79,-1,20,4951,0,numeric
x1126,78,1,8,0,0,category
x882,78,-1,25,4951,0,numeric
x464,77,0,198,0,0,numeric
x720,77,-1,7309,19,0,numeric
x414,77,-1,14,19,0,numeric
x799,77,-1,11,19,0,numeric
x1127,76,1,8,0,0,category
x926,76,-1,23,4951,0,numeric
x742,74,-1,2657,19,0,numeric
x1073,74,-1,930,4951,0,numeric
x1106,74,-1,266,4951,0,numeric
x998,73,-1,65,19,0,numeric
x928,73,-1,24,4951,0,numeric
x467,72,0,11,0,0,numeric
x612,72,-1,106,19,0,numeric
x745,72,-1,62,19,0,numeric
x870,72,-1,25,19,0,numeric
x377,71,-1,43,19,0,numeric
x848,70,-1,112,19,0,numeric
x1124,68,1,8,0,0,category
x251,68,-1,20582,19,5,numeric
x915,68,-1,247,4951,0,numeric
x680,68,-1,89,19,0,numeric
x839,68,-1,50,19,0,numeric
x423,68,-1,6,19,0,numeric
x1081,67,-1,89,4951,0,numeric
x375,67,-1,44,19,0,numeric
x888,67,-1,15,4951,0,numeric
x1121,66,1,8,0,0,category
x250,66,-1,3036,19,0,numeric
x902,66,-1,79,4951,0,numeric
x332,66,-1,38,19,0,numeric
x984,64,-1,40,19,0,numeric
x290,63,-1,4355,19,0,numeric
x971,63,-1,69,19,0,numeric
x1122,61,1,8,0,0,category
x263,61,-1,1069,19,0,numeric
x1084,61,-1,1065,4951,0,numeric
x569,61,-1,36,19,0,numeric
x1071,60,-1,838,4951,0,numeric
x717,60,-1,369,19,0,numeric
x510,59,-1,103,19,0,numeric
x673,59,-1,73,19,0,numeric
x934,59,-1,6,4951,0,numeric
x526,58,-1,240,19,0,numeric
x840,58,-1,64,19,0,numeric
x577,58,-1,58,19,0,numeric
x807,58,-1,14,19,0,numeric
x442,58,-1,0,13651,0,numeric
x1061,57,-1,28,4951,0,numeric
x600,57,-1,22,19,0,numeric
x1075,56,-1,196,4951,0,numeric
x519,56,-1,150,19,0,numeric
x880,56,-1,57,19,0,numeric
x841,56,-1,44,19,0,numeric
x938,56,-1,6,4951,0,numeric
x580,55,-1,202,19,0,numeric
x810,54,-1,772,19,0,numeric
x794,54,-1,112,19,0,numeric
x627,53,-1,301,19,0,numeric
x759,53,-1,69,19,0,numeric
x1092,52,-1,124,4951,0,numeric
x376,51,-1,52,19,0,numeric
x596,51,-1,20,19,0,numeric
x701,50,-1,18,19,0,numeric
x659,49,-1,90,19,0,numeric
x425,48,-1,245,19,0,numeric
x1000,48,-1,51,19,0,numeric
x1063,48,-1,32,4951,0,numeric
x465,47,0,388,0,0,numeric
x1101,47,-1,318,4951,0,numeric
x816,47,-1,72,19,0,numeric
x754,47,-1,36,19,0,numeric
x919,47,-1,22,4951,0,numeric
x314,47,-1,1,63,0,category
x969,45,-1,49,19,0,numeric
x454,44,-1,1,13778,0,category
x664,43,-1,3151,19,0,numeric
x449,43,-1,1,14051,0,category
x443,43,-1,1,13651,0,numeric
x416,42,1,4,0,0,category
x1056,42,-1,101,4951,0,numeric
x618,42,-1,72,19,0,numeric
x706,41,-1,67,19,0,numeric
x249,40,-1,4906,19,0,numeric
x502,40,-1,1385,19,0,numeric
x1070,40,-1,196,4951,0,numeric
x1086,40,-1,86,4951,0,numeric
x1028,40,-1,28,19,0,numeric
x1037,40,-1,1,24,0,category
x537,39,-1,592,19,0,numeric
x1058,39,-1,98,4951,0,numeric
x302,39,-2,1,25,0,category
x1076,38,-1,251,4951,0,numeric
x632,38,-1,82,19,0,numeric
x420,38,-1,24,19,0,numeric
x932,38,-1,15,4951,0,numeric
x871,38,-1,15,19,0,numeric
x1027,38,-1,14,19,0,numeric
x309,38,-1,1,2870,0,category
x1040,38,-1,1,2850,0,category
x672,37,-1,103,19,0,numeric
x572,37,-1,80,19,0,numeric
x419,37,-1,22,19,0,numeric
x668,37,-1,10,19,0,numeric
x1089,36,-1,397,4951,0,numeric
x331,36,-1,6,19,0,numeric
x622,35,-1,145,19,0,numeric
x694,35,-1,54,19,0,numeric
x1014,35,-1,13,19,0,numeric
x1069,34,-1,172,4951,0,numeric
x1054,34,-1,100,4951,0,numeric
x779,34,-1,5,44,0,numeric
x315,34,-1,1,94,0,category
x452,34,-1,0,13778,0,category
x539,33,-1,9764,19,0,numeric
x1082,33,-1,605,4951,0,numeric
x599,33,-1,25,19,0,numeric
x917,33,-1,15,4951,0,numeric
x670,33,-1,14,19,0,numeric
x639,33,-1,12,19,0,numeric
x1033,33,-1,0,13355,0,category
x278,32,-1,3545,19,0,numeric
x597,32,-1,2324,19,0,numeric
x543,32,-1,18,19,0,numeric
x1034,32,-1,0,13342,0,category
x739,31,-1,1385,19,0,numeric
x1099,31,-1,263,4951,0,numeric
x1080,31,-1,226,4951,0,numeric
x1098,31,-1,68,4951,0,numeric
x1002,31,-1,12,19,0,numeric
x453,31,-1,0,13778,0,category
x571,30,-1,87,19,0,numeric
x927,30,-1,3,4951,0,numeric
x457,29,0,256,0,0,numeric
x1097,29,-1,139,4951,0,numeric
x540,29,-1,3,83,0,numeric
x1036,29,-1,1,585,0,category
x280,28,-1,155,19,0,numeric
x1091,28,-1,113,4951,0,numeric
x712,27,-1,106,19,0,numeric
x1094,27,-1,99,4951,0,numeric
x718,27,-1,74,19,0,numeric
x907,27,-1,52,4951,0,numeric
x261,27,-1,39,19,0,numeric
x446,27,-1,16,13651,0,numeric
x893,27,-1,6,4951,0,numeric
x801,26,-1,90,19,0,numeric
x740,26,-1,61,19,0,numeric
x884,26,-1,1,4951,0,category
x492,25,-1,298,19,0,numeric
x264,25,-1,261,19,0,numeric
x714,25,-1,76,19,0,numeric
x784,25,-1,26,19,0,numeric
x439,25,-1,1,13998,0,category
x1032,25,-1,1,34,0,category
x1039,25,-1,0,13297,0,category
x662,24,-1,31,19,0,numeric
x989,24,-1,26,19,0,numeric
x711,24,-1,18,19,0,numeric
x313,24,-1,1,95,0,category
x1088,23,-1,208,4951,0,numeric
x691,23,-1,33,19,0,numeric
x916,23,-1,12,4951,0,numeric
x891,23,-1,8,4951,0,numeric
x811,23,-1,4,83,0,numeric
x598,22,-1,3027,19,0,numeric
x719,22,-1,79,19,0,numeric
x975,22,-1,49,19,0,numeric
x1042,22,-1,1,443,0,category
x508,21,-1,256,19,0,numeric
x808,21,-1,6,19,0,numeric
x301,21,-1,1,14517,0,category
x1031,21,-1,0,13298,0,category
x688,20,-1,256,19,0,numeric
x311,20,-1,1,3663,0,category
x758,19,-1,154,19,0,numeric
x925,19,-1,12,4951,0,numeric
x896,19,-1,4,4951,0,numeric
x1096,18,-1,261,4951,0,numeric
x755,18,-1,64,19,0,numeric
x1065,18,-1,27,4951,0,numeric
x1030,18,-1,16,19,0,numeric
x445,18,-1,1,13651,0,numeric
x883,18,-1,1,4951,0,category
x319,18,-1,1,53,0,category
x447,18,-1,0,14051,0,category
x518,17,-1,681,19,0,numeric
x1100,17,-1,206,4951,0,numeric
x724,17,-1,45,19,0,numeric
x898,17,-1,5,4951,0,numeric
x965,16,-1,23,19,0,numeric
x903,16,-1,11,4951,0,numeric
x1041,16,-1,1,3647,0,category
x1035,16,-1,1,3642,0,category
x316,16,-1,1,53,0,category
x426,16,-1,1,19,0,category
x936,15,-1,5,4951,0,numeric
x901,15,-1,4,4951,0,numeric
x1047,15,-1,1,576,0,category
x1045,15,-1,1,34,0,category
x437,15,-1,0,13998,0,numeric
x1044,14,-1,1,13298,0,category
x448,14,-1,0,14051,0,category
x644,13,-1,395,19,0,numeric
x281,13,-1,167,19,0,numeric
x1093,13,-1,22,4951,0,numeric
x1043,13,-1,1,453,0,category
x833,12,-1,1246,19,0,numeric
x1079,12,-1,53,4951,0,numeric
x247,12,-1,42,19,0,numeric
x262,12,-1,32,19,0,numeric
x970,12,-1,22,19,0,numeric
x438,12,-1,0,13998,0,category
x455,12,-1,0,13778,0,category
x498,11,-1,2148,83,0,numeric
x817,11,-1,681,19,0,numeric
x854,11,-1,230,19,0,numeric
x308,11,-1,1,4191,0,category
x1038,11,-1,1,4171,0,category
x317,11,-1,1,85,0,category
x450,11,-1,0,14051,0,category
x1095,10,-1,46,4951,0,numeric
x900,10,-1,5,4951,0,numeric
x303,10,-1,1,186,0,category
x275,9,-1,50,19,0,numeric
x834,9,-1,15,19,0,numeric
x906,9,-1,10,4951,0,numeric
x536,9,-1,6,19,0,numeric
x1052,9,-1,0,13298,0,category
x276,8,-1,5475,19,0,numeric
x728,8,-1,8,19,0,numeric
x886,8,-1,1,4951,0,category
x1132,7,1,7,0,0,category
x620,7,-1,395,19,0,numeric
x248,7,-1,66,19,0,numeric
x702,7,-1,17,19,0,numeric
x929,7,-1,2,4951,0,numeric
x1050,7,-1,1,13298,0,category
x320,7,-1,1,84,0,category
x312,7,-1,1,63,0,category
x1051,6,-1,0,13297,0,category
x501,5,-1,2148,83,0,numeric
x635,5,-1,1746,19,0,numeric
x619,5,-1,8,19,0,numeric
x895,5,-1,3,4951,0,numeric
x310,5,-1,1,3657,0,category
x318,5,-1,1,19,0,category
x505,4,-1,304,83,0,numeric
x291,4,-1,28,19,0,numeric
x441,4,-1,15,13998,0,numeric
x744,4,-1,10,19,0,numeric
x922,4,-1,8,4951,0,numeric
x723,4,-1,8,19,0,numeric
x300,4,-1,1,8534,0,category
x776,3,-1,2223,19,0,numeric
x495,3,-1,454,83,0,numeric
x456,3,-1,34,13778,0,numeric
x451,3,-1,15,14051,0,numeric
x440,3,-1,0,13998,0,category
x507,2,-1,304,83,0,numeric
x912,2,-1,10,4951,0,numeric
x923,2,-1,4,4951,0,numeric
x1134,1,7,8,0,0,category
x773,1,-1,494,19,0,numeric
x872,1,-1,20,19,0,numeric
x860,1,-1,10,19,0,numeric
x812,1,-1,3,19,0,numeric
x899,1,-1,2,4951,0,numeric
x894,1,-1,2,4951,0,numeric
