feature,score,min,max,n_null,n_gt1w
x958,499,-1.0,278.69,6105,0,numeric
x1024,498,-1,799,19,0,numeric
x239,496,-1.0,52.78,131,0,numeric
x395,494,-1,279,19,0,numeric
x400,493,-1,693,19,0,numeric
x95,493,-1.0,79.68,83,0,numeric
x208,492,-1.0,100.0,92,0,numeric
x173,492,-1.0,35.29,19,0,numeric
x342,491,-1,5613,19,0,numeric
x179,490,-1.0,51.61,92,0,numeric
x689,489,-1,3359,19,0,numeric
x337,485,-1,735485,19,231,numeric
x462,484,0,164,0,0,numeric
x122,484,-1.0,66.67,92,0,numeric
x180,483,-1.0,33.33,92,0,numeric
x98,480,-1.0,100.0,130,0,numeric
x83,480,-1.0,100.0,92,0,numeric
x27,478,-1.0,100.0,83,0,numeric
x820,475,-1,320,989,0,numeric
x365,474,-1,6144,92,0,numeric
x123,472,-1.0,100.0,131,0,numeric
x68,471,-1.0,100.0,130,0,numeric
x146,471,-1.0,21.95,19,0,numeric
x211,469,-1.0,100.0,131,0,numeric
x84,465,-1.0,47.45,92,0,numeric
x81,463,-1.0,100.0,92,0,numeric
x656,462,-1,27947,19,2,numeric
x150,460,-1.0,40.0,19,0,numeric
x1117,458,1,35,0,0,category
x757,458,-1,96,19,0,numeric
x21,458,-1.0,68.95,131,0,numeric
x601,457,-1,3019,19,0,numeric
x40,456,-1.0,16.77,19,0,numeric
x120,455,-1.0,100.0,92,0,numeric
x14,454,-1.0,31.34,19,0,numeric
x183,453,-1.0,100.0,131,0,numeric
x323,453,-1.0,32.0,19,0,numeric
x158,453,-1.0,18.52,92,0,numeric
x359,452,0.0,1134854.0,0,9358,numeric
x956,452,-1,61,4421,0,numeric
x397,451,-1,1007,19,0,numeric
x19,449,-1.0,100.0,131,0,numeric
x477,448,-1,3400,20,0,numeric
x289,448,-1,361,907,0,numeric
x1018,448,-1,191,19,0,numeric
x71,447,-1.0,26.65,19,0,numeric
x167,445,-1.0,26.7,19,0,numeric
x252,444,-1,95053,19,31,numeric
x769,442,-1,120625,19,38,numeric
x434,441,-1.0,151.31,52,0,numeric
x35,441,-1.0,42.82,19,0,numeric
x169,441,-1.0,29.61,19,0,numeric
x223,439,-1.0,30.21,19,0,numeric
x292,436,-1,1443,19,0,numeric
x228,436,-1.0,28.0,19,0,numeric
x30,435,-1.0,100.0,130,0,numeric
x50,434,-1.0,14.29,92,0,numeric
x25,433,-1.0,66.05,83,0,numeric
x155,433,-1.0,42.86,92,0,numeric
x153,433,-1.0,41.67,19,0,numeric
x141,431,-1.0,100.0,130,0,numeric
x1114,430,1,36,0,0,category
x20,430,-1.0,100.0,131,0,numeric
x126,427,-1.0,100.0,131,0,numeric
x147,427,-1.0,20.32,19,0,numeric
x558,426,-1,52514,19,145,numeric
x219,425,-1.0,42.86,131,0,numeric
x418,425,-1,17,19,0,numeric
x366,424,-1.0,7748103.03,92,247,numeric
x481,423,-1,4369,20,0,numeric
x131,423,-1.0,42.86,131,0,numeric
x306,420,-1.0,620.0,19,0,numeric
x128,420,-1.0,100.0,131,0,numeric
x959,419,-1.0,247.14,4421,0,numeric
x74,419,-1.0,35.13,19,0,numeric
x1,417,-1.0,34.18,19,0,numeric
x52,416,-1.0,46.1,92,0,numeric
x39,414,-1.0,17.6,19,0,numeric
x46,413,-1.0,33.89,19,0,numeric
x76,412,-1.0,71.85,19,0,numeric
x164,412,-1.0,50.0,131,0,numeric
x231,411,-1.0,26.5,19,0,numeric
x1026,410,-1,97,19,0,numeric
x136,409,-1.0,51.79,83,0,numeric
x106,409,-1.0,34.8,19,0,numeric
x347,408,0.0,1597488.0,0,13231,numeric
x88,405,-1.0,100.0,131,0,numeric
x188,404,-1.0,21.39,19,0,numeric
x690,403,-1,27933,19,3,numeric
x878,402,-1,723,19,0,numeric
x551,402,-1,363,2307,0,numeric
x24,401,-1.0,52.78,131,0,numeric
x700,399,-1,103,19,0,numeric
x914,398,-1.0,198.76,4951,0,numeric
x852,397,-1,24189,19,33,numeric
x771,396,-1,122906,19,129,numeric
x427,396,-1.0,151.31,52,0,numeric
x66,396,-1.0,100.0,130,0,numeric
x413,395,-1,54,19,0,numeric
x474,393,-1,736,20,0,numeric
x185,393,-1.0,100.0,131,0,numeric
x207,391,-1.0,55.56,92,0,numeric
x409,388,-1.0,1824.0,19,0,numeric
x348,387,0.0,100.0,0,0,numeric
x130,387,-1.0,100.0,131,0,numeric
x156,386,-1.0,100.0,92,0,numeric
x293,383,-1.0,169691.14,19,474,numeric
x163,383,-1.0,100.0,131,0,numeric
x47,383,-1.0,53.4,92,0,numeric
x213,382,-1.0,100.0,131,0,numeric
x184,382,-1.0,100.0,131,0,numeric
x157,382,-1.0,40.0,92,0,numeric
x222,380,-1.0,14.08,19,0,numeric
x181,379,-1.0,40.0,92,0,numeric
x129,378,-1.0,66.67,131,0,numeric
x361,377,0.0,708502.0,0,9700,numeric
x237,377,-1.0,50.0,131,0,numeric
x842,375,-1,35156,19,9,numeric
x430,374,-1.0,456.0,52,0,numeric
x856,374,-1,323,19,0,numeric
x124,373,-1.0,100.0,131,0,numeric
x499,372,-1,344,19,0,numeric
x57,372,-1.0,100.0,131,0,numeric
x1019,371,-1,109,19,0,numeric
x144,371,-1.0,100.0,130,0,numeric
x240,370,-1.0,100.0,131,0,numeric
x977,369,-1,1776,19,0,numeric
x89,369,-1.0,100.0,131,0,numeric
x209,369,-1.0,28.57,92,0,numeric
x31,368,-1.0,100.0,130,0,numeric
x259,367,-1,18966,19,4,numeric
x132,366,-1.0,100.0,131,0,numeric
x1138,365,1,33,0,0,category
x478,365,-1,4369,20,0,numeric
x4,365,-1.0,78.13,19,0,numeric
x143,363,-1.0,100.0,130,0,numeric
x864,360,-1,7078,19,0,numeric
x957,360,-1,61,4421,0,numeric
x241,358,-1,74077,19,36,numeric
x102,358,-1.0,100.0,130,0,numeric
x634,357,-1,25110,19,2,numeric
x288,357,-1,428,7817,0,numeric
x350,356,0.0,1060.0,0,0,numeric
x590,356,-1,544,19,0,numeric
x214,353,-1.0,100.0,131,0,numeric
x270,352,-1,371789,19,852,numeric
x583,352,-1,792,19,0,numeric
x140,352,-1.0,100.0,130,0,numeric
x67,352,-1.0,100.0,130,0,numeric
x206,351,-1.0,100.0,92,0,numeric
x176,350,-1.0,100.0,92,0,numeric
x825,349,-1,52934,19,32,numeric
x534,348,-1,162,19,0,numeric
x304,347,-1,2921,19,0,numeric
x996,347,-1,874,19,0,numeric
x652,344,-1,118,19,0,numeric
x545,343,-1,1321,19,0,numeric
x1055,342,-1,866,4951,0,numeric
x471,342,-1,355,20,0,numeric
x16,341,-1.0,72.57,92,0,numeric
x734,340,-1,57114,19,128,numeric
x246,339,-1,199397,19,871,numeric
x399,338,-1,122,19,0,numeric
x117,338,-1.0,68.76,92,0,numeric
x160,337,-1.0,85.71,131,0,numeric
x177,337,-1.0,50.0,92,0,numeric
x979,336,-1,1216,19,0,numeric
x966,335,-1.0,22414532.0,12142,1844,numeric
x396,333,-1,295,19,0,numeric
x976,332,-1,2578,19,0,numeric
x476,329,-1,2327,20,0,numeric
x63,329,-1.0,100.0,130,0,numeric
x36,329,-1.0,22.65,19,0,numeric
x963,329,-1,17,4421,0,numeric
x393,328,-1,2322,19,0,numeric
x15,328,-1.0,68.0,92,0,numeric
x186,326,-1.0,34.85,19,0,numeric
x822,325,-1,95326,19,329,numeric
x382,325,-1,123,19,0,numeric
x60,325,-1.0,100.0,83,0,numeric
x1077,324,-1,275,4951,0,numeric
x354,323,0.0,379328.0,0,2026,numeric
x294,323,-1,1325,19,0,numeric
x483,322,-1,585,20,0,numeric
x307,319,-1,1691,19,0,numeric
x655,319,-1,136,19,0,numeric
x1005,319,-1,73,19,0,numeric
x187,318,-1.0,13.39,19,0,numeric
x946,317,-1.0,2944.04,285,0,numeric
x479,317,-1,754,20,0,numeric
x296,317,-1.0,525.7,19,0,numeric
x469,316,0.0,1.2,0,0,numeric
x268,316,-1,1382,19,0,numeric
x730,316,-1,420,4139,0,numeric
x87,316,-1.0,85.71,131,0,numeric
x1137,315,1,8,0,0,category
x475,315,-1,1521,20,0,numeric
x403,315,-1,838,19,0,numeric
x557,314,-1,235196,19,4440,numeric
x890,314,-1,79,4951,0,numeric
x97,314,-1.0,28.57,83,0,numeric
x746,313,-1,14448,19,2,numeric
x766,313,-1,249,19,0,numeric
x196,313,-1.0,27.23,19,0,numeric
x1109,312,1,33,0,0,category
x54,312,-1.0,100.0,131,0,numeric
x909,312,-1,82,4951,0,numeric
x85,312,-1.0,27.94,92,0,numeric
x485,311,-1,5555,20,0,numeric
x217,311,-1.0,100.0,131,0,numeric
x1115,309,1,36,0,0,category
x768,309,-1,69027,19,31,numeric
x233,308,-1.0,100.0,92,0,numeric
x75,307,-1.0,19.98,19,0,numeric
x230,306,-1.0,16.43,19,0,numeric
x401,305,-1,505,19,0,numeric
x154,305,-1.0,100.0,92,0,numeric
x216,305,-1.0,66.67,131,0,numeric
x151,304,-1.0,26.09,19,0,numeric
x349,303,0.0,92.17,0,0,numeric
x286,303,-1,66370,19,29,numeric
x721,301,-1,10829,19,2,numeric
x232,301,-1.0,68.0,92,0,numeric
x556,300,-1,184,19,0,numeric
x514,299,-1,15950,19,2,numeric
x274,299,-1,356,12095,0,numeric
x80,299,-1.0,100.0,92,0,numeric
x325,299,-1,63,19,0,numeric
x182,298,-1.0,72.45,92,0,numeric
x649,297,-1,373,13242,0,numeric
x22,297,-1.0,50.0,131,0,numeric
x86,296,-1.0,100.0,92,0,numeric
x748,295,-1,83075,19,72,numeric
x1029,295,-1,87,19,0,numeric
x954,295,-1,18,4421,0,numeric
x698,294,-1,66452,19,7,numeric
x947,294,-1.0,8313.53,285,0,numeric
x329,294,-24.9121,51.79815,4281,0,numeric
x272,293,-1,45269,19,33,numeric
x266,293,-1,876,19,0,numeric
x1023,293,-1,487,19,0,numeric
x435,292,-1.0,81.05,52,0,numeric
x685,291,-1,241519,19,1893,numeric
x865,291,-1,20835,19,1,numeric
x338,291,-1,3538,19,0,numeric
x17,290,-1.0,100.0,92,0,numeric
x546,289,-1,351,3900,0,numeric
x548,289,-1,260,47,0,numeric
x334,289,-1,5,19,0,numeric
x506,287,-1,1075,19,0,numeric
x133,286,-1.0,61.62,83,0,numeric
x90,285,-1.0,100.0,131,0,numeric
x257,284,-1,30561,19,38,numeric
x851,284,-1,117,19,0,numeric
x421,283,-1,245,19,0,numeric
x104,282,-1.0,100.0,130,0,numeric
x100,282,-1.0,76.32,130,0,numeric
x105,281,-1.0,100.0,130,0,numeric
x277,279,-1,22804,19,4,numeric
x344,279,-1.0,1325.94,34,0,numeric
x568,277,-1,4460,19,0,numeric
x824,277,-1,192,19,0,numeric
x238,277,-1.0,100.0,131,0,numeric
x1110,276,1,33,0,0,category
x220,276,-1.0,30.61,19,0,numeric
x818,275,-1,385,13010,0,numeric
x62,274,-1.0,100.0,83,0,numeric
x1108,272,1,36,0,0,category
x524,272,-1,40811,19,14,numeric
x933,271,-1,71,4951,0,numeric
x198,270,-1.0,23.6,19,0,numeric
x760,269,-1,12692,19,2,numeric
x299,269,-1,1443,19,0,numeric
x297,268,-1.0,852.0,19,0,numeric
x846,267,-1,74671,19,27,numeric
x384,267,-1,153,19,0,numeric
x686,266,-1,26436,19,33,numeric
x339,266,-1,2210,19,0,numeric
x729,266,-1,369,9554,0,numeric
x111,263,-1.0,58.88,19,0,numeric
x166,263,-1.0,25.0,131,0,numeric
x254,261,-1,24779,19,1,numeric
x1103,261,-1,559,4951,0,numeric
x697,261,-1,98,19,0,numeric
x215,261,-1.0,50.0,131,0,numeric
x520,259,-1,27607,19,1,numeric
x152,258,-1.0,40.65,19,0,numeric
x484,257,-1,2990,20,0,numeric
x472,257,-1,395,20,0,numeric
x343,256,-1.0,999.46,170,0,numeric
x503,256,-1,284,83,0,numeric
x1130,255,1,8,0,0,category
x284,255,-1,49393,19,25,numeric
x73,255,-1.0,13.73,19,0,numeric
x282,254,-1,8902,19,0,numeric
x385,254,-1,208,19,0,numeric
x972,253,-1.0,22785057.0,13588,1335,numeric
x867,253,-1,19126,19,2,numeric
x731,253,-1,357,6130,0,numeric
x1004,252,-1,296,19,0,numeric
x194,252,-1.0,12.24,19,0,numeric
x340,251,-1,5913,19,0,numeric
x782,251,-1,5309,19,0,numeric
x77,251,-1.0,19.18,19,0,numeric
x992,250,-1,616,19,0,numeric
x1022,249,-1,209,19,0,numeric
x139,248,-1.0,35.15,83,0,numeric
x203,246,-1.0,16.51,19,0,numeric
x550,245,-1,371,6115,0,numeric
x1001,245,-1,99,19,0,numeric
x388,244,-1,265,19,0,numeric
x964,244,-1,19,4421,0,numeric
x1116,243,1,36,0,0,category
x511,243,-1,677179,19,91,numeric
x287,243,-1,33082,19,30,numeric
x752,243,-1,8231,19,0,numeric
x197,243,-1.0,14.77,19,0,numeric
x355,242,0.03,18676.0,0,7,numeric
x614,242,-1,17022,19,4,numeric
x678,242,-1,13856,19,1,numeric
x750,242,-1,11385,19,1,numeric
x370,242,-1,10536,19,1,numeric
x103,242,-1.0,100.0,130,0,numeric
x858,241,-1,24487,19,3,numeric
x431,240,-1.0,5082.35,52,0,numeric
x1083,240,-1,2705,4951,0,numeric
x875,240,-1,653,19,0,numeric
x78,240,-1.0,14.2,19,0,numeric
x647,239,-1,395,10188,0,numeric
x722,238,-1,10945,19,1,numeric
x1102,238,-1,2449,4951,0,numeric
x646,238,-1,237,13169,0,numeric
x91,237,-1.0,60.06,83,0,numeric
x341,236,-1,3520,19,0,numeric
x669,236,-1,3286,19,0,numeric
x582,235,-1,1148,19,0,numeric
x224,233,-1.0,51.2,19,0,numeric
x360,232,0.0,11278.0,0,1,numeric
x967,232,-1,22414532,12142,1881,numeric
x978,232,-1,1221,19,0,numeric
x920,232,-1,370,4951,0,numeric
x576,232,-1,273,19,0,numeric
x7,232,-1.0,58.6,19,0,numeric
x949,231,-1.0,7913.44,285,0,numeric
x1057,231,-1,1126,4951,0,numeric
x960,231,-1.0,292.26,4421,0,numeric
x116,230,-1.0,20.38,19,0,numeric
x512,229,-1,134047,19,3,numeric
x764,229,-1,18720,19,4,numeric
x823,229,-1,12234,19,7,numeric
x643,229,-1,3523,19,0,numeric
x1010,229,-1,398,19,0,numeric
x410,228,-1.0,2306.0,19,0,numeric
x585,228,-1,1016,19,0,numeric
x373,227,-1,1211,19,0,numeric
x34,227,-1.0,34.47,19,0,numeric
x994,226,-1,1138,19,0,numeric
x733,226,-1,196,19,0,numeric
x497,224,-1,433,83,0,numeric
x981,224,-1,182,19,0,numeric
x821,224,-1,121,19,0,numeric
x565,223,-1,6136,19,0,numeric
x432,223,-1.0,2589.06,52,0,numeric
x704,223,-1,1070,19,0,numeric
x1059,223,-1,930,4951,0,numeric
x805,222,-1,21848,19,9,numeric
x563,222,-1,18666,19,1,numeric
x335,222,-1,5,19,0,numeric
x374,221,-1,1160,19,0,numeric
x968,220,-1,22414532,12142,1209,numeric
x707,220,-1,8617,19,0,numeric
x389,220,-1,185,19,0,numeric
x792,219,-1,14775,19,10,numeric
x609,219,-1,4966,19,0,numeric
