feature,score
dx327,1640
dx384,1636
dx792,1635
dx1019,1634
dx605,1626
dx772,1619
dx868,1613
dx338,1611
dx108,1599
dx1015,1598
dx947,1595
dx388,1582
dx976,1582
dx509,1579
dx654,1574
dx890,1569
dx790,1566
dx732,1563
dx918,1559
dx386,1537
dx33,1534
dx994,1533
dx284,1530
dx729,1529
dx257,1527
dx271,1522
dx949,1516
dx422,1513
dx506,1507
dx780,1497
dx958,1497
dx1055,1477
dx409,1470
dx344,1467
dx12,1466
dx39,1465
dx343,1460
dx653,1453
dx285,1452
dx5,1451
dx272,1449
dx499,1447
dx1103,1440
dx534,1439
dx342,1424
dx687,1421
dx980,1417
dx387,1414
dx821,1413
dx867,1401
dx355,1400
dx578,1397
dx225,1393
dx634,1390
dx340,1389
dx690,1387
dx273,1383
dx765,1376
dx283,1374
dx360,1371
dx684,1363
dx686,1362
dx394,1359
dx287,1352
dx613,1344
dx983,1341
dx328,1327
dx962,1326
dx630,1317
dx469,1317
dx738,1314
dx194,1309
dx221,1309
dx722,1304
dx410,1304
dx874,1302
dx170,1297
dx846,1276
dx991,1275
dx800,1272
dx535,1272
dx857,1268
dx385,1263
dx269,1262
dx858,1256
dx935,1254
dx705,1253
dx370,1253
dx716,1253
dx747,1251
dx920,1250
dx933,1243
dx341,1234
dx391,1226
dx905,1224
dx779,1224
dx332,1220
dx795,1219
dx849,1218
dx345,1214
dx764,1212
dx836,1211
dx721,1209
dx806,1208
dx581,1203
dx564,1200
dx174,1193
dx964,1191
dx377,1176
dx104,1170
dx647,1169
dx369,1165
dx563,1165
dx241,1160
dx945,1159
dx256,1154
dx864,1150
dx45,1143
dx351,1137
dx139,1131
dx770,1130
dx245,1125
dx1025,1121
dx458,1116
dx847,1113
dx924,1101
dx64,1097
dx530,1092
dx579,1086
dx1060,1078
dx748,1076
dx381,1061
dx683,1059
dx470,1059
dx713,1055
dx202,1055
dx263,1049
dx586,1049
dx201,1045
dx751,1039
dx60,1035
dx116,1033
dx1077,1025
dx97,1012
dx902,1006
dx1057,998
dx420,986
dx1009,981
dx580,969
dx1017,964
dx998,962
dx699,962
dx1008,961
dx524,960
dx961,953
dx1067,953
dx674,949
dx838,947
dx378,943
dx704,925
dx402,907
dx100,906
dx828,903
dx679,902
dx650,895
dx525,893
dx414,877
dx1059,877
dx682,864
dx827,861
dx865,858
dx881,857
dx561,842
dx863,837
dx889,835
dx1064,831
dx562,822
dx522,821
dx803,813
dx807,813
dx937,811
dx841,811
dx1101,802
dx611,801
dx514,800
dx887,799
dx1083,799
dx614,797
dx465,795
dx1078,794
dx804,794
dx612,783
dx1072,782
dx512,775
dx1062,775
dx331,775
dx760,762
dx627,753
dx752,750
dx77,750
dx510,745
dx1104,742
dx513,741
dx717,740
dx577,737
dx969,736
dx709,734
dx267,733
dx794,732
dx1105,726
dx706,724
dx203,721
dx32,718
dx1068,709
dx1090,707
dx628,703
dx1000,700
dx793,697
dx497,693
dx675,691
dx809,690
dx888,689
dx880,689
dx1092,684
dx521,684
dx258,681
dx818,670
dx610,668
dx1102,662
dx843,658
dx1085,648
dx517,647
dx869,647
dx746,643
dx1066,631
dx1071,629
dx707,602
dx667,591
dx565,590
dx1058,590
dx882,588
dx965,582
dx930,579
dx277,572
dx259,565
dx1012,563
dx1106,561
dx608,558
dx243,551
dx796,549
dx781,548
dx649,541
dx708,540
dx423,538
dx69,537
dx260,536
dx609,535
dx602,535
dx914,533
dx1084,533
dx103,532
dx1074,531
dx928,525
dx745,521
dx624,520
dx968,520
dx1089,519
dx1013,518
dx1076,518
dx643,517
dx599,513
dx282,512
dx1075,512
dx646,511
dx519,508
dx568,505
dx891,503
dx526,501
dx244,500
dx274,497
dx547,496
dx595,494
dx1002,494
dx932,494
dx1056,493
dx1006,493
dx1080,491
dx1099,488
dx600,487
dx966,484
dx1054,484
dx376,483
dx253,481
